Fecha,toneladas,dia_semana,dias_desde_festivo,dias_hasta_festivo,mes,trimestre,isla,toneladas_lag_1,toneladas_lag_2,toneladas_lag_3,toneladas_lag_7,toneladas_media_7d,toneladas_media_14d,toneladas_media_30d,toneladas_max_7d,toneladas_min_7d
2024-01-31,24.1128,2,25,58,1,1,TF,48.2256,48.228048,23.888725,96.156216,51.28592871428572,46.20309928571428,43.41381583333334,96.156216,23.888725
2024-02-01,47.778675,3,26,57,2,1,TF,24.1128,48.2256,48.228048,46.941624,40.99401214285714,44.49213171428572,44.21757583333333,48.228048,23.888725
2024-02-02,47.77745,4,27,56,2,1,TF,47.778675,24.1128,48.2256,47.658888,41.11359085714286,44.479267928571424,44.21361273333333,48.228048,23.888725
2024-02-03,24.13495,5,28,55,2,1,TF,47.77745,47.778675,24.1128,47.9024,41.13052828571429,44.487373,44.2220528,48.228048,23.888725
2024-02-04,24.13495,6,29,54,2,1,TF,24.13495,47.77745,47.778675,23.888725,37.73517828571429,41.07014828571429,43.42996553333333,48.228048,23.888725
2024-02-05,72.4024,0,30,53,2,1,TF,24.13495,24.13495,47.77745,48.228048,37.770353285714286,42.79407328571428,42.63653303333333,48.228048,24.1128
2024-02-06,48.229272,1,31,52,2,1,TF,72.4024,24.13495,24.13495,48.2256,41.22383214285714,44.53253757142857,44.24614556666666,72.4024,24.1128
2024-02-07,72.039592,2,32,51,2,1,TF,48.229272,72.4024,24.13495,24.1128,41.22435671428571,46.25514271428572,45.05402636666667,72.4024,24.1128
2024-02-08,47.740896,3,33,50,2,1,TF,72.039592,48.229272,72.4024,47.778675,48.07104128571429,44.53252671428572,46.6515453,72.4024,24.13495
2024-02-09,23.870448,4,34,49,2,1,TF,47.740896,72.039592,48.229272,47.77745,48.06564428571428,44.58961757142857,47.438451,72.4024,24.13495
2024-02-10,0.0,5,35,48,2,1,TF,23.870448,47.740896,72.039592,24.13495,44.65035828571428,42.89044328571429,46.63754926666666,72.4024,23.870448
2024-02-11,24.011225,6,36,47,2,1,TF,0.0,23.870448,47.740896,24.13495,41.20250828571428,39.468843285714286,43.4238026,72.4024,0.0
2024-02-12,24.13495,0,37,46,2,1,TF,24.011225,0.0,23.870448,72.4024,41.18483328571428,39.477593285714285,42.62469436666666,72.4024,0.0
2024-02-13,24.133725,1,38,45,2,1,TF,24.13495,24.011225,0.0,48.229272,34.28948328571428,37.75665771428572,41.83665186666667,72.039592,0.0
2024-02-14,72.401175,2,39,44,2,1,TF,24.133725,24.13495,24.011225,72.039592,30.847262285714287,36.0358095,41.58573103333333,72.039592,0.0
2024-02-15,96.0449,3,40,43,2,1,TF,72.401175,24.133725,24.13495,47.740896,30.898917,39.48497914285714,42.39158353333333,72.401175,0.0
2024-02-16,47.77745,4,41,42,2,1,TF,96.0449,72.401175,24.133725,23.870448,37.799489,42.93256664285714,43.9930266,96.0449,0.0
2024-02-17,47.359008,5,42,41,2,1,TF,47.77745,96.0449,72.401175,0.0,41.214775,42.93256664285715,43.98339673333333,96.0449,0.0
2024-02-18,24.011225,6,43,40,2,1,TF,47.359008,47.77745,96.0449,24.011225,47.980347571428574,44.59142792857143,43.96340473333333,96.0449,24.011225
2024-02-19,95.84532,0,44,39,2,1,TF,24.011225,47.359008,47.77745,24.13495,47.980347571428574,44.58259042857144,43.1749796,96.0449,24.011225
2024-02-20,48.268675,1,45,38,2,1,TF,95.84532,24.011225,47.359008,24.133725,58.224686142857145,46.25708471428571,43.9706204,96.0449,24.011225
2024-02-21,47.073075,2,46,37,2,1,TF,48.268675,95.84532,24.011225,72.401175,61.67253614285715,46.25989921428571,45.57957623333333,96.0449,24.011225
2024-02-22,48.106872,3,47,36,2,1,TF,47.073075,48.268675,95.84532,96.0449,58.05423614285714,44.476576571428566,45.54654873333333,96.0449,24.011225
2024-02-23,47.778675,4,48,35,2,1,TF,48.106872,47.073075,48.268675,47.77745,51.20594642857143,44.50271771428572,46.34635113333333,95.84532,24.011225
2024-02-24,60.27245,5,49,34,2,1,TF,47.778675,48.106872,47.073075,47.359008,51.20612142857143,46.21044821428571,44.73376643333334,95.84532,24.011225
2024-02-25,23.9904,6,50,33,2,1,TF,60.27245,47.778675,48.106872,24.011225,53.050898857142855,50.51562321428572,45.1781273,95.84532,24.011225
2024-02-26,47.983248,0,51,32,2,1,TF,23.9904,60.27245,47.778675,95.84532,53.047923857142855,50.51413571428572,44.389177700000005,95.84532,23.9904
2024-02-27,47.985696,1,52,31,2,1,TF,47.983248,23.9904,60.27245,48.268675,46.210485,52.21758557142857,44.391872633333335,60.27245,23.9904
2024-02-28,47.984472,2,53,30,2,1,TF,47.985696,47.983248,23.9904,47.073075,46.17005942857143,53.92129778571429,45.195105000000005,60.27245,23.9904
2024-02-29,23.748048,3,54,29,2,1,TF,47.984472,47.985696,47.983248,48.106872,46.300259,52.177247571428566,45.1869858,60.27245,23.9904
2024-03-01,71.1786,4,55,28,3,1,TF,23.748048,47.984472,47.985696,47.778675,42.820427,47.01318671428572,44.3710674,60.27245,23.748048
2024-03-02,47.159424,5,56,27,3,1,TF,71.1786,23.748048,47.984472,60.27245,46.16327342857143,48.68469742857143,45.9399274,71.1786,23.748048
